id,name,handle,address,city,district,state,zipcode,nation,county,region,lat,lon,phone_number,website,twitter,instagram,facebook
52c2476d-37c4-46a2-aee2-f02cdc94136f,Fairways Inn,52c2476d-fairways-inn,"4167 S Dupont Blvd, Smyrna, DE 19977",Smyrna,,DE,19977,USA,,Mid-Atlantic,39.257,-75.6053,(302) 653-7044,,,,
abc38de5-8381-4c0f-bfb1-e5431710badc,Chase Lounge,abc38de5-chase-lounge,"4123 N DuPont Hwy, Dover, DE 19901",Dover,,DE,19901,USA,,Mid-Atlantic,39.2042,-75.5158,(302) 724-5411,,,,
6fcaf882-cc84-4197-b67d-70f387bd1abe,Hak's Sports Bar,6fcaf882-haks-sports-bar,"1050 S Market St, Wilmington, DE 19801",Wilmington,,DE,19801,USA,,Mid-Atlantic,39.7312,-75.5487,(302) 655-8515,,,,
00518779-dee0-4ebb-944f-6fe54fa8ff01,The Gold Club,00518779-the-gold-club,"1031 S Market St, Wilmington, DE 19801",Wilmington,,DE,19801,USA,,Mid-Atlantic,39.7311,-75.548,(302) 428-8888,,,,
9efefe54-8174-42b4-96c0-038ae010a5b7,Canton Inn,9efefe54-canton-inn,"Route 20 W off US Route 13, Seaford, DE 19973",Seaford,,DE,19973,USA,,Mid-Atlantic,38.6412,-75.611,(302) 628-3800,,,,
428c9f5a-e085-48b2-b94a-aa9704dff62d,Exotica Nightclub,428c9f5a-exotica-nightclub,"Route 13, Seaford, DE",Seaford,,DE,,USA,,Mid-Atlantic,38.6411,-75.612,Not Available,,,,
de4c3e8e-65d2-4b49-8d9d-eaceaaa3fb61,Ice Lounge,de4c3e8e-ice-lounge,"1036 Lafferty Lane, Dover, DE 19901",Dover,,DE,19901,USA,,Mid-Atlantic,39.1234,-75.51,(302) 678-8069,,,,https://www.facebook.com/iceloungesu/?ref=page_internal&locale=en_GB&_rdr
f2e30fbb-029f-43b1-8b5c-feda62b668a3,Fantasia,f2e30fbb-fantasia,"Hwy 12 N of I-495, Wilmington, DE",Wilmington,,DE,,USA,,Mid-Atlantic,39.742,-75.55,(302) 428-8888,,,,
eff9df64-fa03-47f4-abe1-886ce972f3a0,Whispers,eff9df64-whispers,"704 Norman Eskridge Hwy, Seaford, DE 19973",Seaford,,DE,19973,USA,,Mid-Atlantic,38.643,-75.6099,(302) 628-3800,,,https://www.instagram.com/explore/locations/1013953087/whispers-gentlemens-club/,
18cf4994-dde6-46f2-9a3e-d233b55884a2,Sapphire Las Vegas,18cf4994-sapphire-las-vegas,"3025 Sammy Davis Jr Dr, Las Vegas, NV 89109",Las Vegas,The Strip,NV,89109,USA,Clark,Southwest,36.1335,-115.1797,(702) 796-6000,https://www.sapphirelasvegas.com/,https://twitter.com/sapphirelv,https://www.instagram.com/sapphirelv/,https://www.facebook.com/SapphireLasVegas
2d4d3be1-2c78-4d64-867b-10cd1db2b238,Spearmint Rhino Las Vegas,2d4d3be1-spearmint-rhino-las-vegas,"3340 S Highland Dr, Las Vegas, NV 89109",Las Vegas,The Strip,NV,89109,USA,Clark,Southwest,36.1294,-115.184,(702) 796-3600,https://spearmintrhinolv.com/,https://twitter.com/SpearmintRhino,https://www.instagram.com/spearmintrhinolv/,https://www.facebook.com/SpearmintRhinoLasVegas
c310f1ce-7e48-4b94-8d76-df7e25df5f35,Crazy Horse III,c310f1ce-crazy-horse-iii,"3525 W Russell Rd, Las Vegas, NV 89118",Las Vegas,Paradise,NV,89118,USA,Clark,Southwest,36.084,-115.183,(702) 673-1700,https://crazyhorse3.com/,https://twitter.com/CrazyHorse3LV,https://www.instagram.com/crazyhorse3lv/,https://www.facebook.com/CrazyHorse3LV
5db308a7-0dd5-41a1-b74c-bb4f3e03e46b,Palomino Club,5db308a7-palomino-club,"1848 Las Vegas Blvd N, North Las Vegas, NV 89030",North Las Vegas,Downtown,NV,89030,USA,Clark,Southwest,36.196,-115.117,(702) 642-2984,https://palominolv.com/,https://twitter.com/PalominoClubLV,https://www.instagram.com/palominolv/,https://www.facebook.com/PalominoClubLV
